STATUS | wrapper  | 2013/11/12 12:21:53 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/11/12 12:21:53 | Launching a JVM...
INFO   | wrapper  | 2013/11/12 12:21:53 | command: "jre\bin\java.exe" -server -Djava.util.logging.config.file=logger.props -Dfile.encoding=UTF-8 -XX:MaxPermSize=256m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=logs -Xrs -Djava.awt.headless=true -Djava.util.Arrays.useLegacyMergeSort=true -Xmx1G -Ddummy1=DONTREMOVE -Ddummy2=DONTREMOVE -Ddummy3=DONTREMOVE -Ddummy4=DONTREMOVE -Ddummy5=DONTREMOVE -Ddummy6=DONTREMOVE -Ddummy7=DONTREMOVE -Ddummy8=DONTREMOVE -Ddummy9=DONTREMOVE -Ddummy0=DONTREMOVE -Djava.library.path="lib/wrapper" -classpath "userlib/override/classes;lib/fiwb.jar;lib/fajax.jar;lib/fbase.jar;lib/fiwb.jar;lib/commons/commons-cli-1.2.jar;lib/commons/commons-codec-1.4.jar;lib/commons/commons-discovery-0.5.jar;lib/commons/commons-fileupload-1.2.jar;lib/commons/commons-httpclient-3.1.jar;lib/commons/commons-io-2.1.jar;lib/commons/commons-lang-2.5.jar;lib/commons/commons-logging-1.1.1.jar;lib/commons/commons-net-1.4.1.jar;lib/google/guava-13.0.1.jar;lib/log4j/log4j-1.2.16.jar;lib/log4j/log4j-companions-component.jar;lib/log4j/log4j-companions-extras.jar;lib/log4j/log4j-companions-receivers.jar;lib/slf4j/slf4j-api-1.6.4.jar;lib/slf4j/slf4j-log4j12-1.6.4.jar;lib/json/json-smart-1.0.9-1.jar;lib/json/json.jar;lib/jsp-2.1/com.sun.el-2.2.0.v201108011116.jar;lib/jsp-2.1/javax.el-2.2.0.v201108011116.jar;lib/jsp-2.1/javax.servlet.jsp-2.2.0.v201112011158.jar;lib/jsp-2.1/javax.servlet.jsp.jstl-1.2.0.v201105211821.jar;lib/jsp-2.1/org.apache.jasper.glassfish-2.2.2.v201112011158.jar;lib/jsp-2.1/org.apache.taglibs.standard.glassfish-1.2.0.v201112081803.jar;lib/jsp-2.1/org.eclipse.jdt.core-3.7.1.jar;lib/wrapper/wrapper.jar;lib/jetty/jetty-client-8.1.3.v20120416.jar;lib/jetty/jetty-continuation-8.1.3.v20120416.jar;lib/jetty/jetty-deploy-8.1.3.v20120416.jar;lib/jetty/jetty-http-8.1.3.v20120416.jar;lib/jetty/jetty-io-8.1.3.v20120416.jar;lib/jetty/jetty-jmx-8.1.3.v20120416.jar;lib/jetty/jetty-security-8.1.3.v20120416.jar;lib/jetty/jetty-server-8.1.3.v20120416.jar;lib/jetty/jetty-servlet-8.1.3.v20120416.jar;lib/jetty/jetty-servlets-8.1.3.v20120416.jar;lib/jetty/jetty-util-8.1.3.v20120416.jar;lib/jetty/jetty-webapp-8.1.3.v20120416.jar;lib/jetty/jetty-xml-8.1.3.v20120416.jar;lib/jetty/servlet-api-3.0.jar;lib/xml/jaxb-api.jar;lib/xml/XmlSchema-1.4.7.jar;lib/xml/xpp3_min-1.1.3.4.O.jar;lib/xml/xstream-1.2.2.jar;lib/mail/mailapi.jar;lib/mail/smtp.jar;lib/groovy/groovy-all-1.8.8.jar;lib/groovy/jansi-1.7.jar;lib/groovy/jline-0.9.94.jar;lib/antlr/antlr-2.7.7.jar;lib/antlr/stringtemplate-3.2.1.jar;lib/bsh/bsh-2.0b4.jar;lib/axis/axis.jar;lib/axis/jaxrpc.jar;lib/axis/saaj.jar;lib/axis/wsdl4j-1.5.1.jar;lib/sesame/openrdf-sesame-2.7.3.1-fluidops-onejar.jar;lib/sesame/RDFaParser-0.0.6.jar;lib/sesame/sesame-sail-lucenesail-2.2.0.jar;lib/lucene/lucene-analyzers-3.5.0.jar;lib/lucene/lucene-core-3.5.0.jar;lib/lucene/lucene-highlighter-3.5.0.jar;lib/lucene/lucene-memory-3.5.0.jar;lib/wiki/bliki-addons-3.0.19.jar;lib/wiki/bliki-core-3.0.19.jar;lib/wiki/bliki-pdf-3.0.19.jar;lib/wiki/bzip2.jar;lib/h2/h2-1.1.118.jar;lib/tar/jtar-1.0.2.jar;lib/twitter/twitter4j-core-2.1.6.jar;lib/jtidy/jtidy-r918.jar;lib/snmp/SNMP4J.jar;lib/opencloud/OpenCloud0.2.jar;lib/lastfm/last.fm-bindings-0.1.0a.jar;lib/query/commons-jxpath-1.3.jar;lib/query/gentlyWEB-utils-1.1.jar;lib/query/JoSQL-1.9.jar;lib/silk/paranamer-2.3.jar;lib/silk/scala-library-2.9.1.jar;lib/silk/silk-core-2.5.4.jar;lib/owasp/owasp-java-html-sanitizer.jar;lib/owlapi/owlapi-distribution-3.4.4.3-ansell-bin.jar;lib/jackson/jackson-core-2.1.4.jar;lib/jackson/jackson-core-asl-1.9.5.jar;lib/jackson/jackson-mapper-asl-1.9.5.jar;userlib/addons/classes" -Dwrapper.key="EKv2QVzDNMeEA29U" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=29592 -Dwrapper.version="3.2.3" -Dwrapper.native_library="wrapper" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 com.fluidops.iwb.servicedaemon.Main com.fluidops.iwb.IwbStart
INFO   | jvm 1    | 2013/11/12 12:21:54 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2013/11/12 12:21:54 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2013/11/12 12:21:54 | 
INFO   | jvm 1    | 2013/11/12 12:21:54 | 
INFO   | jvm 1    | 2013/11/12 12:21:54 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2013/11/12 12:21:54 |           following files:
INFO   | jvm 1    | 2013/11/12 12:21:54 |             wrapper-windows-x86-64.dll
INFO   | jvm 1    | 2013/11/12 12:21:54 |             wrapper.dll
INFO   | jvm 1    | 2013/11/12 12:21:54 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2013/11/12 12:21:54 |             d:\projects\Ontology\IWB51mod\fiwb\lib\wrapper
INFO   | jvm 1    | 2013/11/12 12:21:54 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2013/11/12 12:21:54 |           configuration property.
INFO   | jvm 1    | 2013/11/12 12:21:54 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/11/12 12:21:54 | 
INFO   | jvm 1    | 2013/11/12 12:21:54 |  INFO [serviceMain] (Log4JHandler.java:127) - configuring logging sub system from etc\log4j.properties
INFO   | jvm 1    | 2013/11/12 12:21:54 |  INFO [serviceMain] (IwbStart.java:122) - Starting Information Workbench
INFO   | jvm 1    | 2013/11/12 12:21:54 |  INFO [serviceMain] (Config.java:251) - loading config file config.prop
INFO   | jvm 1    | 2013/11/12 12:21:54 |  INFO [serviceMain] (I18n.java:124) - Default locale: en_US
INFO   | jvm 1    | 2013/11/12 12:21:54 |  INFO [serviceMain] (I18n.java:127) - Default character set: UTF-8
INFO   | jvm 1    | 2013/11/12 12:21:54 |  INFO [serviceMain] (StartJetty.java:167) - Loading Jetty configuration: d:\projects\Ontology\IWB51mod\fiwb\etc\jetty.xml
INFO   | jvm 1    | 2013/11/12 12:21:55 |  INFO [serviceMain] (Config.java:251) - loading config file config.prop
INFO   | jvm 1    | 2013/11/12 12:21:55 |  INFO [serviceMain] (IwbServletContextListener.java:46) - Starting up Information Workbench webapp context
INFO   | jvm 1    | 2013/11/12 12:21:55 |  INFO [serviceMain] (RepositoryFactory.java:111) - Repository type set to native
INFO   | jvm 1    | 2013/11/12 12:21:55 |  INFO [serviceMain] (WikiStorageBulkServiceImpl.java:313) - bootstrap all wiki pages from folder: .\data\wikiBootstrapADMIN
